id,prediction
0,9
1,1
2,4
3,5
4,1
5,3
6,2
7,0
8,6
9,7
10,2
11,0
12,9
13,7
14,7
15,7
16,7
17,5
18,5
19,4
20,2
21,1
22,8
23,0
24,0
25,9
26,2
27,9
28,7
29,9
30,3
31,8
32,1
33,8
34,7
35,2
36,2
37,6
38,8
39,7
40,6
41,0
42,5
43,9
44,3
45,7
46,4
47,8
48,5
49,6
50,8
51,6
52,6
53,0
54,2
55,2
56,4
57,8
58,1
59,2
60,1
61,8
62,3
63,2
64,9
65,2
66,4
67,6
68,2
69,9
70,5
71,9
72,8
73,1
74,7
75,2
76,0
77,8
78,4
79,8
80,8
81,3
82,2
83,0
84,2
85,6
86,8
87,4
88,1
89,4
90,1
91,2
92,1
93,5
94,4
95,0
96,2
97,0
98,7
99,1
100,2
101,8
102,2
103,6
104,2
105,9
106,0
107,6
108,8
109,0
110,6
111,8
112,0
113,3
114,4
115,7
116,6
117,5
118,3
119,3
120,5
121,8
122,5
123,7
124,7
125,8
126,7
127,7
128,2
129,3
130,5
131,1
132,5
133,9
134,0
135,9
136,5
137,1
138,4
139,4
140,5
141,7
142,3
143,5
144,7
145,3
146,1
147,3
148,0
149,9
150,8
151,9
152,0
153,3
154,0
155,3
156,8
157,4
158,0
159,6
160,2
161,2
162,5
163,9
164,6
165,3
166,6
167,5
168,9
169,7
170,1
171,8
172,0
173,0
174,2
175,4
176,0
177,8
178,3
179,8
180,0
181,4
182,7
183,0
184,4
185,4
186,8
187,1
188,2
189,6
190,7
191,6
192,6
193,6
194,9
195,2
196,3
197,3
198,2
199,2
200,6
201,2
202,0
203,0
204,0
205,2
206,7
207,5
208,8
209,4
210,8
211,8
212,3
213,9
214,8
215,5
216,0
217,9
218,3
219,5
220,6
221,0
222,8
223,0
224,8
225,5
226,5
227,5
228,1
229,5
230,4
231,0
232,3
233,0
234,1
235,2
236,7
237,5
238,3
239,6
240,7
241,7
242,3
243,7
244,6
245,8
246,7
247,6
248,8
249,1
250,7
251,2
252,3
253,2
254,8
255,8
256,8
257,2
258,5
259,3
260,3
261,7
262,8
263,0
264,0
265,2
266,5
267,2
268,1
269,5
270,0
271,4
272,0
273,6
274,8
275,6
276,7
277,4
278,0
279,0
280,6
281,6
282,5
283,3
284,1
285,7
286,3
287,9
288,8
289,2
290,0
291,9
292,9
293,7
294,5
295,0
296,6
297,7
298,4
299,9
300,2
301,0
302,1
303,8
304,3
305,4
306,3
307,4
308,2
309,2
310,3
311,9
312,2
313,7
314,4
315,5
316,0
317,1
318,3
319,6
320,1
321,3
322,8
323,2
324,5
325,0
326,0
327,0
328,3
329,3
330,9
331,8
332,7
333,4
334,2
335,0
336,8
337,2
338,2
339,5
340,0
341,2
342,9
343,6
344,5
345,8
346,2
347,8
348,5
349,6
350,3
351,9
352,5
353,1
354,0
355,0
356,8
357,3
358,1
359,8
360,0
361,4
362,9
363,2
364,0
365,5
366,1
367,7
368,3
369,7
370,7
371,6
372,8
373,6
374,2
375,8
376,3
377,2
378,1
379,9
380,1
381,5
382,9
383,1
384,9
385,9
386,4
387,0
388,2
389,9
390,1
391,3
392,5
393,9
394,8
395,9
396,8
397,8
398,2
399,4
400,7
401,0
402,3
403,6
404,5
405,8
406,6
407,1
408,8
409,7
410,6
411,9
412,2
413,0
414,0
415,8
416,7
417,7
418,8
419,9
420,0
421,8
422,8
423,1
424,1
425,7
426,6
427,3
428,1
429,3
430,3
431,3
432,5
433,2
434,0
435,7
436,1
437,8
438,5
439,1
440,9
441,2
442,9
443,7
444,7
445,0
446,5
447,7
448,0
449,3
450,6
451,3
452,7
453,7
454,8
455,0
456,9
457,8
458,6
459,1
460,9
461,2
462,0
463,4
464,0
465,4
466,7
467,4
468,8
469,7
470,9
471,6
472,1
473,7
474,1
475,6
476,3
477,9
478,9
479,5
480,3
