id,prediction
0,1
1,0
2,1
3,1
4,1
5,0
6,0
7,0
8,0
9,0
10,1
11,0
12,1
13,1
14,0
15,1
16,0
17,0
18,0
19,1
20,1
21,1
22,1
23,1
24,1
25,0
26,1
27,1
28,1
29,0
30,0
31,0
32,1
33,1
34,1
35,0
36,0
37,1
38,0
39,0
40,0
41,1
42,0
43,0
44,0
45,0
46,1
47,0
48,0
49,0
50,0
51,0
52,1
53,1
54,0
55,1
56,1
57,0
58,0
59,0
60,0
61,1
62,1
63,1
64,0
65,0
66,1
67,0
68,1
69,1
70,0
71,1
72,1
73,1
74,1
75,0
76,0
77,0
78,1
79,0
80,1
81,0
82,0
83,1
84,0
85,0
86,1
87,0
88,1
89,0
90,1
91,1
92,0
93,1
94,0
95,0
96,1
97,1
98,1
99,1
100,1
101,0
102,0
103,0
104,1
105,0
106,1
107,0
108,0
109,0
110,1
111,1
112,1
113,1
114,1
115,1
116,0
117,0
118,0
119,0
120,1
121,0
122,1
123,1
124,1
125,0
126,0
127,0
128,1
129,1
130,0
131,0
132,1
133,0
134,0
135,0
136,0
137,0
138,0
139,1
140,0
141,0
142,1
143,0
144,0
145,1
146,0
147,1
148,0
149,0
150,0
151,1
152,1
153,1
154,0
155,1
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,1
164,0
165,1
166,0
167,0
168,1
169,0
170,1
171,1
172,0
173,1
174,0
175,1
176,1
177,1
178,1
179,0
180,1
181,1
182,1
183,1
184,0
185,1
186,1
187,1
188,0
189,0
190,1
191,1
192,0
193,1
194,0
195,0
196,0
197,1
198,1
199,0
200,1
201,0
202,0
203,1
204,1
205,1
206,0
207,1
208,0
209,1
210,1
211,1
212,1
213,0
214,1
215,0
216,0
217,1
218,0
219,0
220,1
221,1
222,1
223,0
224,0
225,0
226,0
227,0
228,0
229,0
230,1
231,1
232,1
233,1
234,1
235,0
236,0
237,0
238,1
239,1
240,0
241,1
242,1
243,0
244,1
245,0
246,1
247,1
248,1
249,1
250,0
251,1
252,0
253,1
254,0
255,0
256,1
257,1
258,1
259,0
260,0
261,0
262,0
263,0
264,1
265,1
266,1
267,1
268,0
269,1
270,1
271,1
272,1
273,1
274,0
275,1
276,1
277,0
278,0
279,1
280,0
281,0
282,0
283,1
284,1
285,0
286,0
287,0
288,0
289,0
290,1
291,1
292,1
293,1
294,0
295,1
296,0
297,0
298,0
299,0
300,0
301,1
302,1
303,0
304,1
305,1
306,0
307,1
308,0
309,1
310,0
311,1
312,0
313,1
314,1
315,1
316,1
317,0
318,1
319,1
320,1
321,1
322,1
323,0
324,1
325,1
326,0
327,1
328,0
329,1
330,0
331,0
332,1
333,1
334,1
335,0
336,1
337,0
338,1
339,0
340,0
341,1
342,0
343,1
344,0
345,0
346,0
347,1
348,1
349,0
350,1
351,0
352,1
353,1
354,0
355,0
356,0
357,1
358,1
359,0
360,1
361,1
362,0
363,1
364,0
365,0
366,0
367,0
368,1
369,1
370,1
371,0
372,0
373,1
374,0
375,1
376,1
377,0
378,1
379,0
380,0
381,0
382,0
383,0
384,1
385,1
386,1
387,1
388,1
389,1
390,0
391,0
392,1
393,1
394,1
395,0
396,1
397,1
398,0
399,0
400,0
401,0
402,0
403,1
404,1
405,0
406,0
407,1
408,0
409,0
410,1
411,0
412,0
413,1
414,0
415,1
416,1
417,0
418,1
419,0
420,1
421,1
422,0
423,0
424,0
425,1
426,1
427,0
428,1
429,0
430,1
431,1
432,0
433,1
434,1
435,0
436,0
437,1
438,0
439,0
440,1
441,1
442,0
443,0
444,0
445,1
446,1
447,1
448,1
449,1
450,0
451,0
452,0
453,1
454,1
455,0
456,1
457,1
458,0
459,0
460,1
461,1
462,0
463,0
464,1
465,0
466,1
467,1
468,1
469,1
470,0
471,0
472,0
473,0
474,0
475,0
476,0
477,1
478,1
479,1
480,0
481,0
482,0
483,1
484,1
485,1
486,0
487,1
488,1
489,0
490,1
491,1
492,1
493,0
494,0
495,0
496,0
497,0
498,1
499,0
500,0
501,1
502,1
503,1
504,0
505,0
506,1
507,0
508,0
509,1
510,0
511,0
512,0
513,1
514,0
515,1
516,1
517,1
518,0
519,1
520,0
521,1
522,0
523,0
524,0
525,1
526,1
527,1
528,1
529,0
530,0
531,0
532,0
533,1
534,1
535,1
536,0
537,0
538,1
539,0
540,1
541,1
542,1
543,0
544,0
545,0
546,1
547,0
548,1
549,1
550,0
551,0
552,0
553,0
554,0
555,0
556,0
557,0
558,1
559,1
560,1
561,1
562,1
563,1
564,1
565,1
566,1
567,0
568,0
569,1
570,1
571,0
572,1
573,1
574,1
575,1
576,0
577,0
578,1
579,0
580,1
581,1
582,0
583,0
584,0
585,1
586,0
587,1
588,0
589,1
590,0
591,1
592,0
593,1
594,0
595,0
596,1
597,1
598,1
599,1
600,0
601,1
602,1
603,1
604,1
605,0
606,1
607,0
608,0
609,1
610,0
611,0
612,1
613,0
614,0
615,1
616,0
617,0
618,1
619,1
620,1
621,1
622,1
623,0
624,1
625,1
626,0
627,0
628,1
629,0
630,0
631,0
632,1
633,0
634,1
635,0
636,1
637,1
638,0
639,1
640,0
641,1
642,1
643,0
644,0
645,1
646,1
647,0
648,1
649,1
650,1
651,1
652,1
653,1
654,1
655,1
656,1
657,1
658,1
659,0
660,1
661,1
662,1
663,0
664,0
665,0
666,0
667,0
668,0
669,1
670,0
671,1
672,1
673,0
674,1
675,0
676,1
677,0
678,0
679,1
680,1
681,0
682,0
683,1
684,1
685,0
686,0
687,0
688,1
689,1
690,0
691,1
692,0
693,0
694,0
695,1
696,0
697,1
698,0
699,1
700,1
701,0
702,1
703,1
704,0
705,0
706,0
707,1
708,0
709,1
710,1
711,1
712,1
713,1
714,1
715,1
716,0
717,0
718,0
719,0
720,0
721,1
722,1
723,0
724,0
725,1
726,0
727,0
728,1
729,0
730,0
731,1
732,0
733,1
734,1
735,0
736,0
737,0
738,1
739,1
740,1
741,0
742,0
743,0
744,1
745,0
746,0
747,0
748,0
749,0
750,1
751,1
752,1
753,0
754,0
755,0
756,1
757,0
758,0
759,0
760,1
761,0
762,1
763,0
764,1
765,1
766,1
767,0
768,0
769,1
770,0
771,1
772,0
773,1
774,0
775,0
776,0
777,0
778,1
779,0
780,0
781,1
782,0
783,0
784,0
785,1
786,1
787,0
788,0
789,0
790,0
791,0
792,0
793,0
794,1
795,0
796,0
797,0
798,1
799,1
800,1
801,1
802,1
803,0
804,1
805,1
806,1
807,0
808,0
809,1
810,1
811,1
812,1
813,0
814,0
815,1
816,1
817,1
818,0
819,0
820,0
821,1
822,0
823,0
824,0
825,0
826,1
827,1
828,0
829,1
830,1
831,1
832,1
833,1
834,1
835,1
836,1
837,1
838,1
839,1
840,1
841,0
842,1
843,1
844,0
845,0
846,0
847,0
848,1
849,0
850,1
851,1
852,1
853,0
854,0
855,1
856,0
857,0
858,0
859,1
860,1
861,0
862,1
863,0
864,1
865,0
866,1
867,0
868,1
869,1
870,0
871,0
872,1
873,1
874,1
875,0
876,1
877,1
878,0
879,1
880,0
881,0
882,0
883,0
884,0
885,1
886,0
887,1
888,0
889,0
890,1
891,1
892,0
893,0
894,1
895,1
896,0
897,0
898,1
899,1
900,1
901,0
902,0
903,0
904,0
905,0
906,1
907,0
908,1
909,1
910,0
911,0
912,1
913,1
914,1
915,1
916,1
917,0
918,1
919,0
920,1
921,0
922,1
923,1
924,0
925,1
926,0
927,1
928,1
929,1
930,0
931,0
932,0
933,0
934,1
935,0
936,1
937,1
938,1
939,1
940,1
941,1
942,1
943,0
944,1
945,1
946,0
947,1
948,0
949,0
950,0
951,0
952,0
953,1
954,1
955,1
956,1
957,0
958,1
959,0
960,0
961,0
962,0
963,1
964,0
965,0
966,0
967,1
968,0
969,1
970,1
971,0
972,0
973,0
974,0
975,0
976,0
977,0
978,0
979,1
980,1
981,1
982,0
983,1
984,1
985,1
986,0
987,1
988,0
989,1
990,0
991,0
992,1
993,1
994,0
995,1
996,0
997,1
998,1
999,0
1000,0
1001,0
1002,0
1003,0
1004,1
1005,0
1006,1
1007,0
1008,0
1009,1
1010,0
1011,0
1012,1
1013,1
1014,1
1015,1
1016,1
1017,1
1018,1
1019,1
1020,1
1021,0
1022,0
1023,1
1024,0
1025,0
1026,0
1027,1
1028,0
1029,1
1030,1
1031,1
1032,0
1033,0
1034,1
1035,0
1036,1
1037,0
1038,1
1039,0
1040,1
1041,0
1042,1
1043,0
1044,0
1045,0
1046,1
1047,0
1048,0
1049,0
1050,0
1051,1
1052,1
1053,0
1054,1
1055,1
1056,1
1057,0
1058,0
1059,1
1060,0
1061,0
1062,0
1063,0
1064,1
1065,1
1066,0
1067,1
1068,0
1069,1
1070,1
1071,1
1072,0
1073,0
1074,0
1075,1
1076,0
1077,0
1078,1
1079,1
1080,0
1081,0
1082,0
1083,1
1084,1
1085,1
1086,1
1087,1
1088,1
1089,1
1090,1
1091,0
1092,0
1093,1
1094,0
1095,0
1096,1
1097,0
1098,1
1099,0
1100,0
1101,1
1102,1
1103,0
1104,0
1105,1
1106,0
1107,0
1108,1
1109,0
1110,1
1111,1
1112,1
1113,0
1114,0
1115,1
1116,0
1117,0
1118,0
1119,0
1120,1
1121,0
1122,1
1123,0
1124,0
1125,0
1126,0
1127,0
1128,1
1129,1
1130,0
1131,1
1132,1
1133,0
1134,1
1135,1
1136,1
1137,0
1138,1
1139,0
1140,1
1141,0
1142,0
1143,1
1144,0
1145,1
1146,1
1147,0
1148,0
1149,0
1150,1
1151,0
1152,1
1153,1
1154,1
1155,0
1156,1
1157,0
1158,1
1159,0
1160,1
1161,1
1162,1
1163,1
1164,0
1165,1
1166,0
1167,1
1168,0
1169,0
1170,0
1171,1
1172,0
1173,1
1174,0
1175,0
1176,1
1177,1
1178,0
1179,1
1180,0
1181,1
1182,0
1183,1
1184,0
1185,1
1186,0
1187,0
1188,0
1189,0
1190,1
1191,1
1192,1
1193,0
1194,0
1195,0
1196,1
1197,1
1198,0
1199,0
1200,0
1201,1
1202,0
1203,0
1204,0
1205,1
1206,1
1207,0
1208,1
1209,0
1210,1
1211,1
1212,0
1213,0
1214,0
1215,0
1216,0
1217,1
1218,0
1219,0
1220,1
1221,1
1222,0
1223,1
1224,0
1225,1
1226,0
1227,1
1228,0
1229,0
